ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,27.46,77,27,23,25,2,9.032894,10.780634,1.7483764,0.18805,0.59554,0.17472,124.179,0.036,3.98,0.608,194676277248
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,48.89,72,22,23,25,2,12.041872,9.313694,1.9737585,0.17069,0.59071,0.124280006,174.78,0.02,5.75,0.316,206202585088
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,307.38,70,8,30,17,15,28.461111,22.909723,8.94769,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.086,3718376062976
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,🚀 成长股 | 💰 价值股,502.67,68,25,11,17,15,16.075151,20.866049,0.0010358471,0.1017,0.24361,0.18129,18.166,0.021,,0.702,1084427534336
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,243.47,67,8,28,21,10,22.073437,19.412111,7.1894283,0.35029998,0.68081003,0.28456,60.499,0.091,2.12,0.347,586738106368
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,657.01,65,8,30,17,10,27.99361,18.351723,7.6514845,0.30238,0.81999,0.30084,39.164,0.238,0.32,1.284,1661943283712
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,401.72,65,8,30,17,10,25.138924,21.311869,7.6350846,0.34390998,0.68586,0.39044,31.539,0.167,0.91,1.084,2985734963200
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,163.75,65,8,26,21,10,24.25926,22.337627,7.2800426,0.31562,0.51189,0.19299999,68.719,0.015,2.59,0.38,383254495232
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,116.26,60,6,18,21,15,31.25269,18.62049,3.8730097,0.12961,0.56664,0.14718,26.787,0.044,2.2,0.751,202345775104
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,207.92,58,8,25,15,10,29.039106,22.382742,5.4278703,0.22286,0.50286,0.108339995,43.435,0.136,,1.385,2232004640768
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,286.66,58,15,13,25,5,21.651058,14.314463,2.6062608,0.12538,0.18526,0.02694,77.08,0.123,3.11,0.415,259667689472
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,80.5,53,8,26,17,2,26.480263,23.244936,10.76491,0.43323,0.61626,0.2734,139.793,0.024,2.56,0.364,346279510016
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,272.95,52,3,27,17,5,34.550632,29.352085,45.506836,1.5202099,0.47325,0.27037,102.63,0.157,0.38,1.107,4011799085056
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,124.42,45,0,18,17,10,45.575092,37.838905,9.95599,0.21847,0.24927,0.0307,63.19,0.056,0.79,0.671,991982125056
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,306.13,42,22,13,0,7,15.291208,13.031068,2.4107003,0.16134001,0.0,0.3391,,0.025,1.98,1.053,825642582016
