ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,27.98,77,27,23,25,2,9.203947,10.984783,1.7814847,0.18805,0.59554,0.17472,124.179,0.036,3.98,0.608,198362791936
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,49.25,72,22,23,25,2,12.130542,9.382275,1.9882922,0.17069,0.59071,0.124280006,174.78,0.02,5.82,0.316,207687254016
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,314.98,70,8,30,17,15,29.137835,23.526636,9.168922,0.35705003,0.59652,0.32810003,16.133,0.18,0.28,1.086,3810313371648
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,🚀 成长股 | 💰 价值股,498.2,68,25,11,17,15,15.937301,20.680498,0.0010266358,0.1017,0.24361,0.18129,18.166,0.021,,0.702,1074784239616
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,242.49,67,8,28,21,10,21.964674,19.33248,7.16049,0.35029998,0.68081003,0.28456,60.499,0.091,2.11,0.347,584376451072
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,655.66,65,8,30,17,10,27.936089,18.321434,7.635762,0.30238,0.81999,0.30084,39.164,0.238,0.33,1.284,1658528202752
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,397.23,65,8,30,17,10,24.857948,21.073668,7.549748,0.34390998,0.68586,0.39044,31.539,0.167,0.91,1.084,2952363507712
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,160.78,65,8,26,21,10,23.81926,21.929638,7.1480017,0.31562,0.51189,0.19299999,68.719,0.015,2.67,0.38,375699996672
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,112.21,60,6,18,21,15,30.163979,17.97183,3.8293009,0.13158,0.56714,0.14718,25.31,0.044,2.25,0.751,195296903168
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,210.11,58,8,25,15,10,29.304045,22.68,5.4850416,0.22286,0.50286,0.108339995,43.435,0.136,,1.385,2255514238976
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,290.0,58,15,13,25,5,21.936459,14.481247,2.6366274,0.12538,0.18526,0.02694,77.08,0.123,3.05,0.415,262693191680
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,79.84,53,8,26,17,2,26.263157,23.05036,10.676651,0.43323,0.61626,0.2734,132.726,0.024,2.59,0.364,343440457728
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,264.58,52,3,27,17,5,33.49114,28.452002,44.111366,1.5202099,0.47325,0.27037,102.63,0.157,0.4,1.107,3888777003008
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🚀 成长股 | 🏦 股息股 | 🛡️ 防御股,122.99,45,0,18,17,10,43.003498,37.39889,10.203252,0.23661,0.24906999,0.03259,66.747,0.058,0.79,0.671,980580958208
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,310.79,42,22,13,0,7,15.523976,13.406338,2.4473968,0.16134001,0.0,0.3391,,0.025,1.95,1.053,846051934208
